generic-name,MachineLearningResearch-accession-number,type,unii,cas-number,iupac-name,smiles,Structure,Chembl,Average weight,Monoisotopic weight,Synonyms,Categories,Substituents
Neomycin,,Small Molecule,I16QD7X297,1404-04-2,,,,,,,"0    Fradiomycin
1      Kaomycine
2      Neomicina
3       Neomycin
4      Vonamycin
Name: nan_synonyms, dtype: object","0     Agents that produce neuromuscular block (indir...
1                       Alimentary Tract and Metabolism
2                         Aminoglycoside Antibacterials
3                                 Anti-Bacterial Agents
4                                 Anti-Infective Agents
5                       Antibacterials for Systemic Use
6                           Antibiotics for Topical Use
7     Antidiarrheals, Intestinal Antiinflammatory/an...
8     Antiinfectives and Antiseptics for Local Oral ...
9                       Antiinfectives for Systemic Use
10                       Blood and Blood Forming Organs
11            Blood Substitutes and Perfusion Solutions
12                                        Carbohydrates
13                                      Dermatologicals
14               Drugs that are Mainly Renally Excreted
15    Drugs that are Mainly Renally Excreted with a ...
16                                    Enzyme Inhibitors
17                                           Glycosides
18                            Intestinal Antiinfectives
19                                 Irrigating Solutions
20                       Narrow Therapeutic Index Drugs
21                                   Nephrotoxic agents
22                                    Neurotoxic agents
23         Ophthalmological and Otological Preparations
24                                    Ophthalmologicals
25                                          Otologicals
26                                      Ototoxic agents
27                         Protein Synthesis Inhibitors
28                                       Sensory Organs
29                          Stomatological Preparations
30                                  Throat Preparations
Name: nan_cat, dtype: object",
Ergoloid mesylate,,Small Molecule,X3S33EX3KW,8067-24-1,,,,,,,"0                     co-dergocrine mesilate
1                     co-dergocrine mesylate
2             co-dergocrine methanesulfonate
3                      codergocrine mesilate
4                      codergocrine mesylate
5              codergocrine methanesulfonate
6                 Dihydroergotoxine Mesilate
7                 Dihydroergotoxine Mesylate
8         Dihydroergotoxine Methanesulfonate
9        dihydroergotoxine methanesulfonates
10    dihydroergotoxine monomethanesulfonate
11            dihydrogenated ergot alkaloids
12                        Ergoloid Mesilates
13                        Ergoloid Mesylates
14                 ergoloid methanesulfonate
15                ergoloid methanesulfonates
16              hydrogenated ergot alkaloids
Name: nan_synonyms, dtype: object","0                                     Adrenergic Agents
1                          Adrenergic alpha-Antagonists
2                                Adrenergic Antagonists
3                      Agents that produce hypertension
4                                             Alkaloids
5                                 Antidepressive Agents
6                                 Cardiovascular Agents
7                         Central Nervous System Agents
8                    Central Nervous System Depressants
9                     Cytochrome P-450 CYP3A Substrates
10                   Cytochrome P-450 CYP3A4 Substrates
11                          Cytochrome P-450 Substrates
12                                    Dihydroergotoxine
13                                      Dopamine Agents
14                                    Dopamine Agonists
15                      Ergot Alkaloids and Derivatives
16          Ergot-derivative Dopamine Receptor Agonists
17                                          Ergotamines
18                   Heterocyclic Compounds, Fused-Ring
19                              Neurotransmitter Agents
20                                     Nootropic Agents
21                              Peripheral Vasodilators
22    Serotonergic Drugs Shown to Increase Risk of S...
23                                     Serotonin Agents
24                                 Serotonin Modulators
25           Sympatholytic (Adrenergic Blocking) Agents
26                                  Vasodilating Agents
Name: nan_cat, dtype: object",
Heparin,,Small Molecule,T2410KM04A,9005-49-6,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1909300,,,"0                   Eparina
1                  Heparina
2                  Heparine
3            Heparinic acid
4                 Heparinum
5    Unfractionated heparin
Name: nan_synonyms, dtype: object","0                 Agents causing hyperkalemia
1                              Anticoagulants
2                        Antivaricose Therapy
3              Blood and Blood Forming Organs
4                               Carbohydrates
5                       Cardiovascular Agents
6                    Fibrin Modulating Agents
7                          Glycosaminoglycans
8                          Hematologic Agents
9                        Heparin and similars
10                              Heparin Group
11    Heparins or Heparinoids for Topical Use
12           Miscellaneous Therapeutic Agents
13             Narrow Therapeutic Index Drugs
14                          Ophthalmologicals
15                            Polysaccharides
16                             Sensory Organs
17      Thyroxine-binding globulin substrates
18                            Vasoprotectives
Name: nan_cat, dtype: object",
Enoxaparin,,Small Molecule,E47C0NF7LV,9005-49-6,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201685,,,"Series([], Name: nan_synonyms, dtype: object)","0       Agents causing hyperkalemia
1                    Anticoagulants
2    Blood and Blood Forming Organs
3             Cardiovascular Agents
4          Fibrin Modulating Agents
5                Glycosaminoglycans
6                Hematologic Agents
7    Heparin (Low Molecular Weight)
8              Heparin and similars
9                     Heparin Group
Name: nan_cat, dtype: object",
Eculizumab,,Biotech,A3ULP0F556,219685-50-4,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201828,,,"0    Eculizumab
Name: nan_synonyms, dtype: object","0            Amino Acids, Peptides, and Proteins
1                                     Antibodies
2                         Antibodies, Monoclonal
3              Antibodies, Monoclonal, Humanized
4     Antineoplastic and Immunomodulating Agents
5                                 Blood Proteins
6                 Complement Inactivating Agents
7                                      Globulins
8                                Immunoglobulins
9                            Immunologic Factors
10                                Immunoproteins
11                      Immunosuppressive Agents
12                                 Immunotherapy
13                                      Proteins
14                  Selective Immunosuppressants
15                               Serum Globulins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Sinecatechins,,Small Molecule,T432289GYZ,188265-33-0,Not Available,Not Available,,,,,"0    Kunecatechins
1    Sinecatechins
Name: nan_synonyms, dtype: object","0    Antiviral Agents
1     Dermatologicals
Name: nan_cat, dtype: object",
Panitumumab,,Biotech,6A901E312A,339177-26-3,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201827,,,"0        ABX-EGF
1    Panitumumab
Name: nan_synonyms, dtype: object","0                   Amino Acids, Peptides, and Proteins
1                                            Antibodies
2                                Antibodies, Monoclonal
3                     Antibodies, Monoclonal, Humanized
4                                 Antineoplastic Agents
5                  Antineoplastic Agents, Immunological
6            Antineoplastic and Immunomodulating Agents
7                                        Blood Proteins
8                                  Cancer immunotherapy
9     EGFR (Epidermal Growth Factor Receptor) inhibi...
10          Epidermal Growth Factor Receptor Antagonist
11                                            Globulins
12                                     HER1 Antagonists
13                                      Immunoglobulins
14                                       Immunoproteins
15                                        Immunotherapy
16    MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUG...
17                                             Proteins
18                                      Serum Globulins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Ranibizumab,,Biotech,ZL1R02VT79,347396-82-1,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201825,,,"0    Ranibizumab
1      rhuFab V2
Name: nan_synonyms, dtype: object","0               Amino Acids, Peptides, and Proteins
1                           Angiogenesis Inhibitors
2                    Angiogenesis Modulating Agents
3                                        Antibodies
4                            Antibodies, Monoclonal
5                 Antibodies, Monoclonal, Humanized
6                     Antineovascularisation Agents
7                                    Blood Proteins
8                         EENT Drugs, Miscellaneous
9                                         Globulins
10                                Growth Inhibitors
11                                Growth Substances
12                                  Immunoglobulins
13                                   Immunoproteins
14                  Ocular Vascular Disorder Agents
15                                      Ophthalmics
16                                Ophthalmologicals
17                                         Proteins
18                                   Sensory Organs
19                                  Serum Globulins
20     Vascular Endothelial Growth Factor Inhibitor
21    Vascular Endothelial Growth Factor Inhibitors
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Idursulfase,,Biotech,5W8JGG2651,50936-59-9,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201826,,,"0    Alpha-L-iduronate sulfate sulfatase
1                  Iduronate 2-sulfatase
2                            Idursulfasa
3                            Idursulfase
Name: nan_synonyms, dtype: object","0                      Alimentary Tract and Metabolism
1                                              Enzymes
2                                Enzymes and Coenzymes
3                                            Esterases
4                                           Hydrolases
5    Hydrolytic Lysosomal Glycosaminoglycan-specifi...
6                                           Sulfatases
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Alglucosidase alfa,,Biotech,DTI67O9503,420784-05-0,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201824,,,"0                   Acid maltase
1         Acid-alpha glucosidase
2              Aglucosidase alfa
3             Aglucosidase alpha
4             Alglucosidasa alfa
5             Alglucosidase alfa
6          alpha-1,4-glucosidase
7              Alpha-glucosidase
8    Lysosomal Alpha-Glucosidase
Name: nan_synonyms, dtype: object","0                  Alimentary Tract and Metabolism
1                                          Enzymes
2                            Enzymes and Coenzymes
3                                     Glucosidases
4                 Glycogen Storage Disease Type II
5                             Glycoside Hydrolases
6                                       Hydrolases
7    Hydrolytic Lysosomal Glycogen-specific Enzyme
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Exenatide,,Biotech,9P1872D4OL,141758-74-9,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL414357,,,"0              Exenatida
1              Exenatide
2    Exenatide synthetic
3              Exendin 4
4              Exendin-4
5    Synthetic exendin-4
Name: nan_synonyms, dtype: object","0                       Alimentary Tract and Metabolism
1                   Amino Acids, Peptides, and Proteins
2                                   Anti-Obesity Agents
3                                    Biological Factors
4                         Blood Glucose Lowering Agents
5                                     Bodily Secretions
6                                Drugs Used in Diabetes
7                                 Fluids and Secretions
8                                        GLP-1 Agonists
9                               Glucagon-Like Peptide 1
10            Glucagon-like peptide-1 (GLP-1) analogues
11                                             Hormones
12    Hormones, Hormone Substitutes, and Hormone Ant...
13                       Hypoglycemia-Associated Agents
14                                    Incretin Mimetics
15                                            Incretins
16                                             Peptides
17                                   Toxins, Biological
18                                               Venoms
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Mecasermin,,Biotech,7GR9I2683O,68562-41-4,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201716,,,"0       Human somatomedin C
1                Mecasermin
2    Mecasermin recombinant
3               Mecasermina
4     Mechano growth factor
Name: nan_synonyms, dtype: object","0                   Amino Acids, Peptides, and Proteins
1        Anterior Pituitary Lobe Hormones and Analogues
2                                    Biological Factors
3                         Blood Glucose Lowering Agents
4                                        Blood Proteins
5                                     Growth Substances
6              Human Insulin-like Growth Factor Analogs
7                        Hypoglycemia-Associated Agents
8         Intercellular Signaling Peptides and Proteins
9                                              Peptides
10    Pituitary and Hypothalamic Hormones and Analogues
11                                             Proteins
12       Recombinant Human Insulin-like Growth Factor-1
13                                         Somatomedins
14                                Somatotropin Agonists
15                   Somatropin and Somatropin Agonists
16    Systemic Hormonal Preparations, Excl. Sex Horm...
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Galsulfase,,Biotech,59UA429E5G,552858-79-4,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201822,,,"0              Arylsulfatase B galsulfase
1                              Galsulfasa
2                              Galsulfase
3    Galsulfase (genetical recombination)
Name: nan_synonyms, dtype: object","0                       Alimentary Tract and Metabolism
1                   Amino Acids, Peptides, and Proteins
2                                        Arylsulfatases
3                Chondroitinases and Chondroitin Lyases
4                                 Chondroitinsulfatases
5                                               Enzymes
6                                 Enzymes and Coenzymes
7                                             Esterases
8                                            Hydrolases
9     Hydrolytic Lysosomal Glycosaminoglycan-specifi...
10                                             Proteins
11                                           Sulfatases
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Abatacept,,Biotech,7D0YB67S97,332348-12-6,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201823,,,"0                Abatacept
1    Abatacept recombinant
Name: nan_synonyms, dtype: object","0                  Agents reducing cytokine levels
1              Amino Acids, Peptides, and Proteins
2                                       Antibodies
3             Antineoplastic Agents, Immunological
4       Antineoplastic and Immunomodulating Agents
5                             Antirheumatic Agents
6     Biologics for Rheumatoid Arthritis Treatment
7                                   Blood Proteins
8              CD80-directed Antibody Interactions
9              CD86-directed Antibody Interactions
10                     Decreased Cytokine Activity
11          Disease-modifying Antirheumatic Agents
12                                       Globulins
13                    Immune Checkpoint Inhibitors
14                                Immunoconjugates
15                             Immunologic Factors
16                        Immunosuppressive Agents
17                                        Proteins
18                    Selective Immunosuppressants
19        Selective T Cell Costimulation Modulator
20                                 Serum Globulins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Corticotropin,,Biotech,K0U68Q2TXA,12427-33-7,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201610,,,"0                           ACTH
1           Adrenocorticotrophin
2    Adrenocorticotropic hormone
3                 Corticotrophin
4                  Corticotropin
5                       Cortigel
6                H.P. acthar gel
Name: nan_synonyms, dtype: object","0                               Adrenal Cortex Hormones
1                           Adrenocorticotropic Hormone
2                   Amino Acids, Peptides, and Proteins
3        Anterior Pituitary Lobe Hormones and Analogues
4                                       Corticosteroids
5                      Corticosteroids for Systemic Use
6                       Cytochrome P-450 CYP3A Inducers
7                     Cytochrome P-450 CYP3A Substrates
8                      Cytochrome P-450 CYP3A4 Inducers
9     Cytochrome P-450 CYP3A4 Inducers (strength unk...
10                   Cytochrome P-450 CYP3A4 Substrates
11                     Cytochrome P-450 Enzyme Inducers
12                          Cytochrome P-450 Substrates
13                                 Fused-Ring Compounds
14                                             Hormones
15    Hormones, Hormone Substitutes, and Hormone Ant...
16                      Hyperglycemia-Associated Agents
17                             Immunosuppressive Agents
18                                        Melanocortins
19                                Nerve Tissue Proteins
20                                        Neuropeptides
21                                     Peptide Hormones
22                                             Peptides
23    Pituitary and Hypothalamic Hormones and Analogues
24                                   Pituitary Hormones
25                         Pituitary Hormones, Anterior
26                                 Pro-Opiomelanocortin
27                                             Proteins
28                                             Steroids
29    Systemic Hormonal Preparations, Excl. Sex Horm...
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Ergoloid mesylate,,Small Molecule,X3S33EX3KW,8067-24-1,,,,,,,"0                     co-dergocrine mesilate
1                     co-dergocrine mesylate
2             co-dergocrine methanesulfonate
3                      codergocrine mesilate
4                      codergocrine mesylate
5              codergocrine methanesulfonate
6                 Dihydroergotoxine Mesilate
7                 Dihydroergotoxine Mesylate
8         Dihydroergotoxine Methanesulfonate
9        dihydroergotoxine methanesulfonates
10    dihydroergotoxine monomethanesulfonate
11            dihydrogenated ergot alkaloids
12                        Ergoloid Mesilates
13                        Ergoloid Mesylates
14                 ergoloid methanesulfonate
15                ergoloid methanesulfonates
16              hydrogenated ergot alkaloids
Name: nan_synonyms, dtype: object","0                                     Adrenergic Agents
1                          Adrenergic alpha-Antagonists
2                                Adrenergic Antagonists
3                      Agents that produce hypertension
4                                             Alkaloids
5                                 Antidepressive Agents
6                                 Cardiovascular Agents
7                         Central Nervous System Agents
8                    Central Nervous System Depressants
9                     Cytochrome P-450 CYP3A Substrates
10                   Cytochrome P-450 CYP3A4 Substrates
11                          Cytochrome P-450 Substrates
12                                    Dihydroergotoxine
13                                      Dopamine Agents
14                                    Dopamine Agonists
15                      Ergot Alkaloids and Derivatives
16          Ergot-derivative Dopamine Receptor Agonists
17                                          Ergotamines
18                   Heterocyclic Compounds, Fused-Ring
19                              Neurotransmitter Agents
20                                     Nootropic Agents
21                              Peripheral Vasodilators
22    Serotonergic Drugs Shown to Increase Risk of S...
23                                     Serotonin Agents
24                                 Serotonin Modulators
25           Sympatholytic (Adrenergic Blocking) Agents
26                                  Vasodilating Agents
Name: nan_cat, dtype: object",
Insulin aspart,,Biotech,D933668QVX,116094-23-6,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201496,,,"0                                   Aspart
1                           Aspart Insulin
2                       B28-Aspart-Insulin
3                           Insulin aspart
4                 Insulin aspart protamine
5     Insulin aspart protamine recombinant
6               Insulin aspart recombinant
7                              Insulin X14
8         Insulin, aspart protamine, human
9                   Insulin, aspart, human
10                Insulin,aspart protamine
11                        Insulina asparta
Name: nan_synonyms, dtype: object","0                       Alimentary Tract and Metabolism
1                   Amino Acids, Peptides, and Proteins
2                         Blood Glucose Lowering Agents
3                      Cytochrome P-450 CYP1A2 Inducers
4     Cytochrome P-450 CYP1A2 Inducers (strength unk...
5                      Cytochrome P-450 Enzyme Inducers
6                                Drugs Used in Diabetes
7                                              Hormones
8     Hormones, Hormone Substitutes, and Hormone Ant...
9                        Hypoglycemia-Associated Agents
10                                              Insulin
11                                       Insulin Analog
12                                Insulin, Short-Acting
13    Insulins and Analogues for Injection, Fast-Acting
14                                  Pancreatic Hormones
15                                     Peptide Hormones
16                                             Peptides
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Insulin detemir,,Biotech,4FT78T86XV,169148-63-4,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL2104391,,,"0                        Detemir
1                Insulin detemir
2    Insulin detemir recombinant
3          Insulin,detemir,human
4               Insulina detemir
Name: nan_synonyms, dtype: object","0                       Alimentary Tract and Metabolism
1                   Amino Acids, Peptides, and Proteins
2                         Blood Glucose Lowering Agents
3                      Cytochrome P-450 CYP1A2 Inducers
4     Cytochrome P-450 CYP1A2 Inducers (strength unk...
5                      Cytochrome P-450 Enzyme Inducers
6                                Drugs Used in Diabetes
7                                              Hormones
8     Hormones, Hormone Substitutes, and Hormone Ant...
9                        Hypoglycemia-Associated Agents
10                                              Insulin
11                                       Insulin Analog
12                                 Insulin, Long-Acting
13                                  Pancreatic Hormones
14                                     Peptide Hormones
15                                             Peptides
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Insulin glargine,,Biotech,2ZM8CX04RZ,160337-95-1,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201497,,,"0                  Insulin glargine
1    Insulin glargine (rDNA origin)
2      Insulin glargine recombinant
3             insulin glargine-yfgn
4                 Insulina glargina
Name: nan_synonyms, dtype: object","0                       Alimentary Tract and Metabolism
1                   Amino Acids, Peptides, and Proteins
2                                       Antimetabolites
3                                   Biological Products
4                         Blood Glucose Lowering Agents
5                                      Complex Mixtures
6                      Cytochrome P-450 CYP1A2 Inducers
7     Cytochrome P-450 CYP1A2 Inducers (strength unk...
8                      Cytochrome P-450 Enzyme Inducers
9                                Drugs Used in Diabetes
10                                             Hormones
11    Hormones, Hormone Substitutes, and Hormone Ant...
12                       Hypoglycemia-Associated Agents
13                                 Hypolipidemic Agents
14                                              Insulin
15                                       Insulin Analog
16                                 Insulin, Long-Acting
17                              Lipid Regulating Agents
18                                  Pancreatic Hormones
19                                     Peptide Hormones
20                                             Peptides
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Insulin glulisine,,Biotech,7XIY785AZD,207748-29-6,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201613,,,"0                             Insulin glulisine
1    Insulin Glulisine (recombinant DNA origin)
2                 Insulin glulisine recombinant
3                            Insulina glulisina
Name: nan_synonyms, dtype: object","0                       Alimentary Tract and Metabolism
1                   Amino Acids, Peptides, and Proteins
2                         Blood Glucose Lowering Agents
3                      Cytochrome P-450 CYP1A2 Inducers
4     Cytochrome P-450 CYP1A2 Inducers (strength unk...
5                      Cytochrome P-450 Enzyme Inducers
6                                Drugs Used in Diabetes
7                                              Hormones
8     Hormones, Hormone Substitutes, and Hormone Ant...
9                        Hypoglycemia-Associated Agents
10                                              Insulin
11                                       Insulin Analog
12                                Insulin, Short-Acting
13    Insulins and Analogues for Injection, Fast-Acting
14                                  Pancreatic Hormones
15                                     Peptide Hormones
16                                             Peptides
17                                             Proteins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Insulin lispro,,Biotech,GFX7QIS1II,133107-64-9,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201538,,,"0                              Insulin lispro
1    Insulin lispro (genetical recombination)
2                Insulin lispro (rDNA origin)
3                    Insulin lispro protamine
4        Insulin lispro protamine recombinant
5                  Insulin lispro recombinant
6                         insulin lispro-aabc
7                   Insulin,lispro,human/rDNA
8               Insulin,lispro,protamine/rDNA
9                             Insulina lispro
Name: nan_synonyms, dtype: object","0                       Alimentary Tract and Metabolism
1                   Amino Acids, Peptides, and Proteins
2                         Blood Glucose Lowering Agents
3                      Cytochrome P-450 CYP1A2 Inducers
4     Cytochrome P-450 CYP1A2 Inducers (strength unk...
5                      Cytochrome P-450 Enzyme Inducers
6                                Drugs Used in Diabetes
7                                              Hormones
8     Hormones, Hormone Substitutes, and Hormone Ant...
9                        Hypoglycemia-Associated Agents
10                                              Insulin
11                                       Insulin Analog
12                                Insulin, Short-Acting
13    Insulins and Analogues for Injection, Fast-Acting
14                                  Pancreatic Hormones
15                                     Peptide Hormones
16                                             Peptides
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
St. John's Wort,,Biotech,UFH8805FKA,84082-80-4,,,,,,,"0             Common st johnswort flowering top
1          Common st. john's wort flowering top
2                   Common st. john's wort herb
3            Common st. johnswort flowering top
4                                Guanyejinsitao
5                                Hyperici herba
6     Hypericum nachitschevanicum flowering top
7            Hypericum perforatum flowering top
8           Hypoxis hemerocallidea root extract
9                    Klamath weed flowering top
10                    Klamathweed flowering top
11                             Saint johns wort
12                               St john's wort
13                                St Johns Wort
14                              St. john’s wort
15                               St. johns wort
16                  St. johnswort flowering top
Name: nan_synonyms, dtype: object","0                                           Angiosperms
1                                 Antidepressive Agents
2        Antidepressive Agents Indicated for Depression
3                                   Biological Products
4                    Central Nervous System Depressants
5                                            Clusiaceae
6                                      Complex Mixtures
7                     Cytochrome P-450 CYP2C19 Inducers
8     Cytochrome P-450 CYP2C19 Inducers (strength un...
9                   Cytochrome P-450 CYP2C19 Substrates
10                   Cytochrome P-450 CYP2D6 Inhibitors
11            Cytochrome P-450 CYP2D6 Inhibitors (weak)
12                      Cytochrome P-450 CYP3A Inducers
13             Cytochrome P-450 CYP3A Inducers (strong)
14                    Cytochrome P-450 CYP3A Substrates
15                     Cytochrome P-450 CYP3A4 Inducers
16            Cytochrome P-450 CYP3A4 Inducers (strong)
17                   Cytochrome P-450 CYP3A4 Substrates
18    Cytochrome P-450 CYP3A4 Substrates (strength u...
19                     Cytochrome P-450 Enzyme Inducers
20                   Cytochrome P-450 Enzyme Inhibitors
21                          Cytochrome P-450 Substrates
22                                          Embryophyta
23                                            Eukaryota
24                           Herbs and Natural Products
25                      Hyperglycemia-Associated Agents
26                                       Nervous System
27                              P-glycoprotein inducers
28                          Pharmaceutical Preparations
29                                   Plant Preparations
30                                     Psychoanaleptics
31                                              Rosanae
32    Serotonergic Drugs Shown to Increase Risk of S...
33                                         Streptophyta
34                                         Tracheophyta
35                                        Viridiplantae
Name: nan_cat, dtype: object",
Dihydroquinidine barbiturate,,Small Molecule,Not Available,Not Available,Not Available,Not Available,,,,,"Series([], Name: nan_synonyms, dtype: object)","Series([], Name: nan_cat, dtype: object)",
Tolevamer,,Small Molecule,ZSL2FB6GXN,28210-41-5,,,,,,,"0    poly(styrene-4-sulfonic acid)
1            Polystyrene sulfonate
2        Polystyrene sulfonic acid
3         polystyrenesulfonic acid
4                        Tolevamer
Name: nan_synonyms, dtype: object","0                                                 Acids
1                                  Acids, Noncarboxylic
2                                   Benzene Derivatives
3                                 Benzylidene Compounds
4                                Cation Exchange Resins
5                                      Chelating Agents
6     Compounds used in a research, industrial, or h...
7     Drugs for Treatment of Hyperkalemia and Hyperp...
8                                   Ion Exchange Resins
9                                  Laboratory Chemicals
10                            Macromolecular Substances
11                                             Plastics
12                                             Polymers
13                               Polystyrene Sulfonates
14                                     Potassium Binder
15                      Potassium Ion Exchange Activity
16                            Potassium-removing Agents
17                                  Sequestering Agents
18                                              Styrene
19                                             Styrenes
20                                         Sulfur Acids
21                                     Sulfur Compounds
Name: nan_cat, dtype: object",
Ephedra sinica rootCommonly known or available as Ephedra,,Biotech,D0P20CT40D,Not Available,,,,,,,"0                         Cao ma huang root
1     Chinese ephedra root (ephedra sinica)
2                          Chinese jointfir
3                                   Ephedra
4                     Ephedra ma-huang root
5             Ephedra root (ephedra sinica)
6                       Ephedra sinica root
7                            Ephedrae radix
8                          Hemp yellow root
9             Ma huang gen (ephedra sinica)
10              Mahuanggen (ephedra sinica)
Name: nan_synonyms, dtype: object","0                                   Adrenergic Agonists
1                  Adrenergic alpha-2 Receptor Agonists
2                             Adrenergic alpha-Agonists
3                   Adrenergic beta-2 Receptor Agonists
4                              Adrenergic beta-Agonists
5                          Agents producing tachycardia
6                      Agents that produce hypertension
7                    Alpha-and Beta-adrenergic Agonists
8                                   Biological Products
9                                      Complex Mixtures
10                                          Cycadopsida
11                                Drugs, Chinese Herbal
12                                          Embryophyta
13                                              Ephedra
14                                            Eukaryota
15                                           Gnetophyta
16                           Herbs and Natural Products
17                      Hyperglycemia-Associated Agents
18    Monoamine Oxidase A Inhibitors for interaction...
19                                       Plant Extracts
20                                         Streptophyta
21                  Sympathomimetic (Adrenergic) Agents
22                                        Viridiplantae
Name: nan_cat, dtype: object",
Ginkgo biloba,,Biotech,19FUJ2C58T,90045-36-6,,,,,,,"0                   Common ginkgo leaf
1                               Ginkgo
2                Ginkgo biloba extract
3                   Ginkgo biloba leaf
4       Ginkgo biloba leaf dry extract
5          Ginkgo biloba leaf tincture
6                       Ginkgo extract
7                        Ginkgo folium
8                          Ginkgo leaf
9              Ginkgo macrophylla leaf
10                  Maidenhair extract
11                Maidenhair tree leaf
12    Pterophyllus salisburiensis leaf
13        Salisburia adiantifolia leaf
14              Salisburia biloba leaf
15              Salisburia ginkgo leaf
16         Salisburia macrophylla leaf
17                             Tanakan
18                           Yinxingye
Name: nan_synonyms, dtype: object","0                                   Anti-Dementia Drugs
1                                   Biological Products
2                                     Blood Circulation
3                                 Cardiovascular Agents
4                             Cholinesterase Inhibitors
5                                      Complex Mixtures
6                    Cytochrome P-450 CYP1A2 Inhibitors
7     Cytochrome P-450 CYP1A2 Inhibitors (strength u...
8                    Cytochrome P-450 CYP2C9 Inhibitors
9     Cytochrome P-450 CYP2C9 Inhibitors (strength u...
10                      Cytochrome P-450 CYP3A Inducers
11                    Cytochrome P-450 CYP3A Inhibitors
12                     Cytochrome P-450 CYP3A4 Inducers
13    Cytochrome P-450 CYP3A4 Inducers (strength unk...
14                   Cytochrome P-450 CYP3A4 Inhibitors
15            Cytochrome P-450 CYP3A4 Inhibitors (weak)
16                     Cytochrome P-450 Enzyme Inducers
17                   Cytochrome P-450 Enzyme Inhibitors
18                                          Embryophyta
19                                            Eukaryota
20                                          Ginkgolides
21    Monoamine Oxidase A Inhibitors for interaction...
22                                       Nervous System
23                          Pharmaceutical Preparations
24                                   Plant Preparations
25                                     Psychoanaleptics
26                                         Streptophyta
27                                         Tracheophyta
28                                        Viridiplantae
Name: nan_cat, dtype: object",
Insulin human,,Biotech,1Y17CTI5SR,11061-68-0,,,,,,,"0     High molecular weight insulin human
1                           Human insulin
2                    human insulin (rDNA)
3                         Insulin (human)
4                           Insulin human
5             Insulin human [rDNA origin]
6                   Insulin Human Regular
7            Insulin human regular (rDNA)
8              Insulin human, rDNA origin
9               Insulin recombinant human
10     Insulin recombinant purified human
11                        Insulin regular
12                         Insulin, human
13                       Insulina regular
14                        Neutral insulin
15                 Regular Insulin, human
16                        Soluble insulin
Name: nan_synonyms, dtype: object","0                       Alimentary Tract and Metabolism
1                   Amino Acids, Peptides, and Proteins
2                         Blood Glucose Lowering Agents
3                      Cytochrome P-450 CYP1A2 Inducers
4     Cytochrome P-450 CYP1A2 Inducers (strength unk...
5                      Cytochrome P-450 Enzyme Inducers
6                                Drugs Used in Diabetes
7                                              Hormones
8     Hormones, Hormone Substitutes, and Hormone Ant...
9                        Hypoglycemia-Associated Agents
10                                              Insulin
11                                  Insulin, metabolism
12                                Insulin, Short-Acting
13    Insulins and Analogues for Injection, Fast-Acting
14                                  Pancreatic Hormones
15                                     Peptide Hormones
16                                             Peptides
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
